source,title,breed,gender,age,price_mad,location,url
animalsouk.ma,Un âne à vendre,Cheval,,,1587,,
animalsouk.ma,Selle cheval,Cheval,,,2800,,
animalsouk.ma,Jument Arabe Barbe,Cheval,,,15000,,
animalsouk.ma,jument,Cheval,,,15000,,
animalsouk.ma,Arabe barbe عود عربي بربري للبيع,Cheval,,,40000,,
animalsouk.ma,Cheval Arabe barbe عودة للبيع,Cheval,,,15000,,
animalsouk.ma,Cheval Arabe barbe,Cheval,,,22000,,
animalsouk.ma,عربي أصيل pur-sang arabe,Cheval,,,50000,,
animalsouk.ma,Arabe barbe,Cheval,,,50000,,
animalsouk.ma,Cheval à vendre,Cheval,,,15000,,
animalsouk.ma,Selle,Cheval,,,2600,,
animalsouk.ma,Cheval,Cheval,,,37000,,
animalsouk.ma,Cheval,Cheval,,,15000,,
animo.ma,Étalon pour sang arabe,Cheval,,,80000,,
animo.ma,cheval frison pour débutants et novices,Cheval,,,17000,,
animo.ma,cheval frison noir guapo pour votre famille,Cheval,,,15000,,
animo.ma,CHEVAL ARABE BARBE DRESSE TBOURIDA,Cheval,,,40000,,
animo.ma,"Mis en ventre d’un cheval CSM , parfait pour saut d’obstacle",Cheval,,,55000,,
animo.ma,سوروج,Cheval,,,1750,,
animo.ma,Un cheval à vendre pour raison d’études,Cheval,,,30000,,
animo.ma,Arabo- frison 4ans,Cheval,,,50000,,
animo.ma,للبيع 7 سنوات بدون أوراق,Cheval,,,50000,,
animo.ma,vente chevaux pur sang arabe,Cheval,,,15000,,
elevageaumaroc.com,cheval de balade,Cheval,,,365000,,
elevageaumaroc.com,jeune cheval de la famille frisonne de sept ans,Cheval,,,3000000,,
elevageaumaroc.com,MAGNIFIQUE DOUBLE PONEY,Cheval,,,1700000,,
elevageaumaroc.com,magnifique cheval de loisir a vendre,Cheval,,,2500000,,
elevageaumaroc.com,vente magnifique ENTIER,Cheval,,,2500000,,
elevageaumaroc.com,Tricolore du lotti,Cheval,,,15000000,,
elevageaumaroc.com,Vente de poney,Cheval,,,1300000,,
elevageaumaroc.com,Poney,Cheval,,,350000,,
elevageaumaroc.com,عاود المليح,Cheval,,,2000000,,
elevageaumaroc.com,عودة,Cheval,,,600000,,
elevageaumaroc.com,POULICHE 1 AN ET 2 ANS,Cheval,,,700000,,
elevageaumaroc.com,Poney,Cheval,,,1500000,,
elevageaumaroc.com,عود دهم ابي,Cheval,,,4000000,,
elevageaumaroc.com,Poney femelle,Cheval,,,2000000,,
ehorses.com,"American Quarter Horse, Mare, 18 years, 14,2 hh, Palomino",American Quarter Horse,Mare,18 years,48150,"Lahn, DE",https://www.ehorses.com/american-quarter-horse-mare-18years-142-hh-palomino-breedinghorses-reininghorses-westernhorses-lahn/4525375.html
ehorses.com,"American Quarter Horse, Gelding, 6 years, 15,2 hh, Perlino",American Quarter Horse,Gelding,6 years,35350,"Santa Fe TN, US",https://www.ehorses.com/american-quarter-horse-gelding-6years-152-hh-perlino-trailhorses-ranch-riding-horses-santa-fe-tn/4333930.html
ehorses.com,"Cruzado Mix, Gelding, 3 years, 16 hh, Grey-Blue-Tan",Cruzado Mix,Gelding,3 years,57779,"Nettetal, DE",https://www.ehorses.com/cruzado-gelding-3years-16-hh-grey-blue-tan-working-equitation-horses-baroquehorses-leisurehorses-dressagehorses-nettetal/4748754.html
ehorses.com,"Oldenburg, Gelding, 9 years, 16,2 hh, Black",Oldenburg,Gelding,9 years,160500,"Dresden Zaschendorf, DE",https://www.ehorses.com/oldenburg-gelding-9years-162-hh-black-dressagehorses-showjumpers-leisurehorses-dresden-zaschendorf/4698018.html
ehorses.com,"Leonhard, Stallion, 2 years, 14 hh, Brown",Leonhard,Stallion,2 years,51360,"Grabenstätt, DE",https://www.ehorses.com/leonhard-stallion-2years-14-hh-brown-leisurehorses-working-equitation-horses-grabenstaett/4670350.html
ehorses.com,"PRE, Stallion, 4 years, 15,2 hh, Brown",PRE,Stallion,4 years,96300,"Santa Marta, ES",https://www.ehorses.com/pre-stallion-4years-152-hh-brown-baroquehorses-leisurehorses-dressagehorses-santa-marta/4714043.html
ehorses.com,"Holstein, Gelding, 16 years, 16,1 hh, Brown",Holstein,Gelding,16 years,155150,"Glandorf, DE",https://www.ehorses.com/holstein-gelding-16years-161-hh-brown-showjumpers-eventinghorses-leisurehorses-glandorf/4598996.html
ehorses.com,"Hungarian Sport Horse, Gelding, 8 years, 16,1 hh, Grey",Hungarian Sport Horse,Gelding,8 years,133750,"Budapest, HU",https://www.ehorses.com/hungarian-sport-horse-gelding-8years-161-hh-grey-showjumpers-leisurehorses-dressagehorses-budapest/4742802.html
ehorses.com,"Hungarian Sport Horse, Gelding, 7 years, 16,1 hh, Chestnut",Hungarian Sport Horse,Gelding,7 years,105395,"Budapest, HU",https://www.ehorses.com/hungarian-sport-horse-gelding-7years-161-hh-chestnut-dressagehorses-showjumpers-leisurehorses-budapest/4738743.html
ehorses.com,"Latvian Warmblood, Mare, 6 years, 16 hh, Bay-Dark",Latvian Warmblood,Mare,6 years,160500,"Helsinki, FI",https://www.ehorses.com/latvian-warmblood-mare-6years-16-hh-bay-dark-showjumpers-dressagehorses-helsinki/4749774.html
ehorses.com,"Hanoverian, Gelding, 4 years, 16 hh, Chestnut-Red",Hanoverian,Gelding,4 years,588500,"Coin, ES",https://www.ehorses.com/hanoverian-gelding-4years-16-hh-chestnut-red-dressagehorses-working-equitation-horses-coin/4735214.html
ehorses.com,"German Sport Horse, Gelding, 8 years, 16,1 hh, Bay-Dark",German Sport Horse,Gelding,8 years,155150,"Grevenbroich, DE",https://www.ehorses.com/german-sport-horse-gelding-8years-161-hh-bay-dark-showjumpers-leisurehorses-dressagehorses-grevenbroich/4749777.html
