source,title,breed,gender,age,price_mad,location,url,description,full_text,breed_clean,gender_clean,age_clean,height_cm
ehorses.com,"Hanoverian, Mare, 4 years, 16,1 hh, Chestnut-Red",Hanoverian,Mare,4 years,321000,"Lienen, DE",https://www.ehorses.com/hanoverian-mare-4years-161-hh-chestnut-red-dressagehorses-eventinghorses-showjumpers-showhunter-lienen/4747090.html,,"Hanoverian, Mare, 4 years, 16,1 hh, Chestnut-Red ",Hanoverian,Mare,4.0,
ehorses.com,"KWPN, Mare, 3 years, 15,2 hh, Bay-Dark",KWPN,Mare,3 years,80250,"Lierde, BE",https://www.ehorses.com/kwpn-mare-3years-152-hh-bay-dark-dressagehorses-lierde/4587246.html,,"KWPN, Mare, 3 years, 15,2 hh, Bay-Dark ",KWPN,Mare,3.0,
ehorses.com,"KWPN, Gelding, 9 years, 15,3 hh, Grey",KWPN,Gelding,9 years,133750,"Lonsee, DE",https://www.ehorses.com/kwpn-gelding-9years-153-hh-grey-leisurehorses-trailhorses-endurancehorses-dressagehorses-lonsee/4748964.html,,"KWPN, Gelding, 9 years, 15,3 hh, Grey ",KWPN,Gelding,9.0,
ehorses.com,"PRE Mix, Gelding, 6 years, 16,2 hh, Grey",PRE Mix,Gelding,6 years,80250,"Sleidinge, BE",https://www.ehorses.com/pre-gelding-6years-162-hh-grey-dressagehorses-working-equitation-horses-showjumpers-sleidinge/4726231.html,,"PRE Mix, Gelding, 6 years, 16,2 hh, Grey ",Andalusian,Gelding,6.0,
ehorses.com,"Hanoverian, Mare, 7 years, 17 hh, Grey",Hanoverian,Mare,7 years,321000,"Bad Dürrheim, DE",https://www.ehorses.com/hanoverian-mare-7years-17-hh-grey-showhunter-showjumpers-bad-duerrheim/4696523.html,,"Hanoverian, Mare, 7 years, 17 hh, Grey ",Hanoverian,Mare,7.0,
ehorses.com,"Polish riding pony, Gelding, 3 years, 14,1 hh, Leopard-Piebald",Polish riding pony,Gelding,3 years,84530,"uelsen, DE",https://www.ehorses.com/polish-riding-pony-gelding-3years-141-hh-leopard-piebald-westernhorses-baroquehorses-leisurehorses-uelsen/4633736.html,,"Polish riding pony, Gelding, 3 years, 14,1 hh, Leopard-Piebald ",Pony,Gelding,3.0,
ehorses.com,"KWPN, Gelding, 5 years, 17 hh, Chestnut",KWPN,Gelding,5 years,235399,"Riga, LV",https://www.ehorses.com/kwpn-gelding-5years-17-hh-chestnut-dressagehorses-riga/4618067.html,,"KWPN, Gelding, 5 years, 17 hh, Chestnut ",KWPN,Gelding,5.0,
ehorses.com,"Westphalian, Gelding, 7 years, 17 hh, Grey-Dapple",Westphalian,Gelding,7 years,321000,"ArnsbergArnsberg, DE",https://www.ehorses.com/westphalian-gelding-7years-17-hh-grey-dapple-showjumpers-dressagehorses-arnsbergarnsberg/4472681.html,,"Westphalian, Gelding, 7 years, 17 hh, Grey-Dapple ",Westphalian,Gelding,7.0,
ehorses.com,"Shetland Ponies, Stallion, 1 year, 8,1 hh, Black",Shetland Ponies,Stallion,1 year,9095,"Hästveda, SE",https://www.ehorses.com/shetland-ponies-stallion-1year-81-hh-black-breedinghorses-showhorses-carriagehorses-haestveda/4703780.html,,"Shetland Ponies, Stallion, 1 year, 8,1 hh, Black ",Shetland,Stallion,,
ehorses.com,"Lusitano, Stallion, 2 years, 15,2 hh, Buckskin",Lusitano,Stallion,2 years,155150,"Herborn, DE",https://www.ehorses.com/lusitano-stallion-2years-152-hh-buckskin-showhorses-working-equitation-horses-breedinghorses-dressagehorses-herborn/4684749.html,,"Lusitano, Stallion, 2 years, 15,2 hh, Buckskin ",Lusitano,Stallion,2.0,
ehorses.com,"Friesian horses, Stallion, 5 years, 15,1 hh",Friesian horses,Stallion,5 years,46010,"Tzummarum, NL",https://www.ehorses.com/friesian-horses-stallion-5years-151-hh-eventinghorses-tzummarum/1706201.html,,"Friesian horses, Stallion, 5 years, 15,1 hh ",Friesian,Stallion,5.0,
ehorses.com,"KWPN, Mare, 3 years, 15,2 hh, Bay-Dark",KWPN,Mare,3 years,52430,"uelsen, DE",https://www.ehorses.com/kwpn-mare-3years-152-hh-bay-dark-dressagehorses-leisurehorses-uelsen/4740393.html,,"KWPN, Mare, 3 years, 15,2 hh, Bay-Dark ",KWPN,Mare,3.0,
