source,id,title,price,currency,location,type,age,gender,url
avito.ma,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Mercedes_classe_B_180_boîte_7_57516404,Mercedes classe B 180 boîte 7,250000,MAD,,Cheval,,,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Mercedes_classe_B_180_boîte_7_57516404.htm
avito.ma,https://www.avito.ma/fr/belle_vue/voitures_d_occasion/Honda_CR_V_57516204,Honda CR-V,80000,MAD,,Cheval,,,https://www.avito.ma/fr/belle_vue/voitures_d_occasion/Honda_CR_V_57516204.htm
avito.ma,https://www.avito.ma/fr/abbadi/animaux_de_ferme/Selle_de_cheval_57459860,Selle de cheval,2500,MAD,,Cheval,,,https://www.avito.ma/fr/abbadi/animaux_de_ferme/Selle_de_cheval_57459860.htm
avito.ma,https://www.avito.ma/fr/sefrou/voitures_d_occasion/Dacia_dokker_57515731,Dacia dokker,113000,MAD,,Cheval,,,https://www.avito.ma/fr/sefrou/voitures_d_occasion/Dacia_dokker_57515731.htm
avito.ma,https://www.avito.ma/fr/deroua/jouets/Cheval_pour_enfants_cheval_enfant_57459399,Cheval pour enfants cheval enfant,150,MAD,,Cheval,,,https://www.avito.ma/fr/deroua/jouets/Cheval_pour_enfants_cheval_enfant_57459399.htm
avito.ma,https://www.avito.ma/fr/route_de_ceuta/bateaux/Bateau_affaire_à_saisir_57198520,Bateau affaire à saisir,1200000,MAD,,Cheval,,,https://www.avito.ma/fr/route_de_ceuta/bateaux/Bateau_affaire_à_saisir_57198520.htm
avito.ma,https://www.avito.ma/fr/sidi_slimane/voitures_d_occasion/Range_Rover_Evoque_SD4_57515604,Range Rover Evoque SD4,170000,MAD,,Cheval,,,https://www.avito.ma/fr/sidi_slimane/voitures_d_occasion/Range_Rover_Evoque_SD4_57515604.htm
avito.ma,https://www.avito.ma/fr/tan_tan/voitures_d_occasion/Dacia_Logan_57515453,Dacia Logan,63000,MAD,,Cheval,,,https://www.avito.ma/fr/tan_tan/voitures_d_occasion/Dacia_Logan_57515453.htm
avito.ma,https://www.avito.ma/fr/aïn_diab/voitures_d_occasion/Belle_Volvo_S90_diesel_8cv_1ere_mains_à_vendre_à_Casa_57514391,Belle Volvo S90 diesel 8cv 1ere mains à vendre à Casa,315000,MAD,,Cheval,,,https://www.avito.ma/fr/aïn_diab/voitures_d_occasion/Belle_Volvo_S90_diesel_8cv_1ere_mains_à_vendre_à_Casa_57514391.htm
avito.ma,https://www.avito.ma/fr/agdal/voitures_d_occasion/alfa_romeo_mito_57512985,alfa romeo mito,64000,MAD,,Cheval,,,https://www.avito.ma/fr/agdal/voitures_d_occasion/alfa_romeo_mito_57512985.htm
avito.ma,https://www.avito.ma/fr/riad_toulal/voitures_d_occasion/Peugeot_207_Diesel_Manuelle_2008_à_Meknès_57511505,Peugeot 207 Diesel Manuelle 2008 à Meknès,74000,MAD,,Cheval,,,https://www.avito.ma/fr/riad_toulal/voitures_d_occasion/Peugeot_207_Diesel_Manuelle_2008_à_Meknès_57511505.htm
avito.ma,https://www.avito.ma/fr/had_soualem/voitures_d_occasion/BMW_Série_5_Pack_m_Diesel_Automatique_2016_57511476,BMW Série 5 Pack m Diesel Automatique 2016,250000,MAD,,Cheval,,,https://www.avito.ma/fr/had_soualem/voitures_d_occasion/BMW_Série_5_Pack_m_Diesel_Automatique_2016_57511476.htm
avito.ma,https://www.avito.ma/fr/route_de_sefrou/voitures_d_occasion/Excellente_voiture_57511404,Excellente voiture,90000,MAD,,Cheval,,,https://www.avito.ma/fr/route_de_sefrou/voitures_d_occasion/Excellente_voiture_57511404.htm
avito.ma,https://www.avito.ma/fr/sidi_allal_el_bahraoui/terrains_et_fermes/MAGNIFIQUE_FERME_6_25_Hectares_45_MINUTES_DE_RABAT_57510660,MAGNIFIQUE FERME 6.25 Hectares 45 MINUTES DE RABAT,5500000,MAD,,Cheval,,,https://www.avito.ma/fr/sidi_allal_el_bahraoui/terrains_et_fermes/MAGNIFIQUE_FERME_6_25_Hectares_45_MINUTES_DE_RABAT_57510660.htm
avito.ma,https://www.avito.ma/fr/sbata/voitures_d_occasion/Hyundai_Elantra_57510526,Hyundai Elantra,18000,MAD,,Cheval,,,https://www.avito.ma/fr/sbata/voitures_d_occasion/Hyundai_Elantra_57510526.htm
